
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
 0.222222 -1.90361  10.1404 i
 0.262626 -1.90361  10.2715 i
 0.30303 -1.90361  10.4402 i
 0.343434 -1.90361  10.6479 i
 0.383838 -1.90361  10.8956 i
 0.424242 -1.90361  11.1849 i
 0.464646 -1.90361  11.5174 i
 0.505051 -1.90361  11.8948 i
 0.545455 -1.90361  12.3191 i
 0.585859 -1.90361  12.7923 i
 0.626263 -1.90361  13.3166 i
 0.666667 -1.90361  13.8946 i
 0.707071 -1.90361  14.5286 i
 0.747475 -1.90361  15.2215 i
 0.787879 -1.90361  15.9761 i
 0.828283 -1.90361  16.7954 i
 0.868687 -1.90361  17.6827 i
 0.909091 -1.90361  18.6413 i
 0.949495 -1.90361  19.6748 i
 0.989899 -1.90361  20.7867 i
 1.0303 -1.90361  21.981 i
 1.07071 -1.90361  23.2617 i
 1.11111 -1.90361  24.6328 i
 1.15152 -1.90361  26.0988 i
 1.19192 -1.90361  27.664 i
 1.23232 -1.90361  29.3332 i
 1.27273 -1.90361  31.1111 i
 1.31313 -1.90361  33.0027 i
 1.35354 -1.90361  35.0131 i
 1.39394 -1.90361  37.1476 i
 1.43434 -1.90361  39.4116 i
 1.47475 -1.90361  41.8107 i
 1.51515 -1.90361  44.3507 i
 1.55556 -1.90361  47.0374 i
 1.59596 -1.90361  49.877 i
 1.63636 -1.90361  52.8757 i
 1.67677 -1.90361  56.04 i
 1.71717 -1.90361  59.3762 i
 1.75758 -1.90361  62.8912 i
 1.79798 -1.90361  66.5919 i
 1.83838 -1.90361  70.4852 i
 1.87879 -1.90361  74.5784 i
 1.91919 -1.90361  78.8789 i
 1.9596 -1.90361  83.3941 i
 2 -1.90361  88.1317 i

# IsoCurve 7, 100 points
# x y z type
-2 -1.88755  95.6581 i
-1.9596 -1.88755  90.7718 i
-1.91919 -1.88755  86.1075 i
-1.87879 -1.88755  81.6578 i
-1.83838 -1.88755  77.4151 i
-1.79798 -1.88755  73.3719 i
-1.75758 -1.88755  69.5212 i
-1.71717 -1.88755  65.8558 i
-1.67677 -1.88755  62.3689 i
-1.63636 -1.88755  59.0539 i
-1.59596 -1.88755  55.904 i
-1.55556 -1.88755  52.913 i
-1.51515 -1.88755  50.0746 i
-1.47475 -1.88755  47.3827 i
-1.43434 -1.88755  44.8314 i
-1.39394 -1.88755  42.415 i
-1.35354 -1.88755  40.1278 i
-1.31313 -1.88755  37.9645 i
-1.27273 -1.88755  35.9197 i
-1.23232 -1.88755  33.9883 i
-1.19192 -1.88755  32.1653 i
-1.15152 -1.88755  30.4461 i
-1.11111 -1.88755  28.8258 i
-1.07071 -1.88755  27.3002 i
